,volume,open,high,low,close,caldt
165,64116350.0,209.72,211.84,202.59,205.75,2024-08-28
166,62308818.0,209.8,214.89,205.97,206.28,2024-08-29
167,63370608.0,208.63,214.5701,207.03,214.11,2024-08-30
168,76714222.0,215.26,219.9043,209.64,210.6,2024-09-03
169,80651767.0,210.59,222.22,210.57,219.41,2024-09-04
170,119355013.0,223.49,235.0,222.25,230.17,2024-09-05
171,112177004.0,232.6,233.6,210.51,210.73,2024-09-06
172,67443518.0,216.2,219.87,213.67,216.27,2024-09-09
173,78891136.0,220.07,226.4,218.6377,226.17,2024-09-10
174,83548633.0,224.55,228.47,216.8003,228.13,2024-09-11
175,72020042.0,224.66,231.45,223.83,229.81,2024-09-12
176,59515114.0,228.0,232.67,226.32,230.29,2024-09-13
177,54322995.0,229.3,229.96,223.53,226.78,2024-09-16
178,66761636.0,229.45,234.57,226.5533,227.87,2024-09-17
179,78010204.0,230.09,235.68,226.88,227.2,2024-09-18
180,102694576.0,234.0,244.24,232.13,243.92,2024-09-19
181,99879070.0,241.52,243.99,235.92,238.25,2024-09-20
182,86927194.0,242.61,250.0,241.92,250.0,2024-09-23
183,88490999.0,254.08,257.19,249.0501,254.27,2024-09-24
184,65034318.0,252.54,257.05,252.28,257.02,2024-09-25
185,67142193.0,260.6,261.75,251.53,254.22,2024-09-26
186,70988067.0,257.375,260.6999,254.12,260.46,2024-09-27
187,80873381.0,259.04,264.86,255.77,261.63,2024-09-30
188,87397613.0,262.67,263.98,248.53,258.02,2024-10-01
189,93983930.0,247.55,251.1585,241.5,249.02,2024-10-02
190,80729240.0,244.48,249.79,237.81,240.66,2024-10-03
191,86726285.0,246.69,250.96,244.58,250.08,2024-10-04
192,68113270.0,249.0,249.83,240.7,240.83,2024-10-07
193,56303160.0,243.56,246.21,240.56,244.5,2024-10-08
194,66289529.0,243.82,247.43,239.51,241.05,2024-10-09
195,83087063.0,241.81,242.7899,232.34,238.77,2024-10-10
196,142628874.0,220.13,223.34,214.38,217.8,2024-10-11
197,86291923.0,220.13,221.91,213.74,219.16,2024-10-14
198,62988787.0,220.01,224.26,217.12,219.57,2024-10-15
199,49632824.0,221.4,222.8199,218.93,221.33,2024-10-16
200,50791784.0,221.59,222.08,217.9,220.89,2024-10-17
201,49611867.0,220.71,222.28,219.23,220.7,2024-10-18
202,47328988.0,218.9,220.48,215.726,218.85,2024-10-21
203,43268741.0,217.31,218.22,215.26,217.97,2024-10-22
204,80938892.0,217.125,218.72,212.11,213.65,2024-10-23
205,204491903.0,244.68,262.1199,242.65,260.48,2024-10-24
206,161611931.0,256.01,269.49,255.32,269.19,2024-10-25
207,107653603.0,270.0,273.536,262.24,262.51,2024-10-28
208,80521751.0,264.51,264.98,255.51,259.52,2024-10-29
209,53993576.0,258.035,263.35,255.8201,257.55,2024-10-30
210,66575292.0,257.99,259.75,249.25,249.85,2024-10-31
211,57544757.0,252.043,254.0,246.63,248.98,2024-11-01
212,68802354.0,244.56,248.9,238.88,242.84,2024-11-04
213,69282505.0,247.34,255.2799,246.2101,251.44,2024-11-05
214,165228710.0,284.67,289.59,275.62,288.53,2024-11-06
215,117309232.0,288.89,299.75,285.52,296.91,2024-11-07
216,204782763.0,299.14,328.71,297.66,321.22,2024-11-08
217,210521625.0,346.3,358.64,336.0,350.0,2024-11-11
218,155726016.0,342.74,345.84,323.31,328.49,2024-11-12
219,125405599.0,335.85,344.5999,322.5,330.24,2024-11-13
220,120726109.0,327.69,329.98,310.37,311.18,2024-11-14
221,114440286.0,310.57,324.6799,309.22,320.72,2024-11-15
222,126547455.0,340.73,348.5499,330.01,338.74,2024-11-18
223,88852452.0,335.76,347.3799,332.75,346.0,2024-11-19
224,66340650.0,345.0,346.5999,334.3,342.03,2024-11-20
225,58011719.0,343.81,347.9899,335.28,339.64,2024-11-21
226,89140722.0,341.085,361.53,337.7,352.56,2024-11-22
227,95890899.0,360.14,361.93,338.2,338.59,2024-11-25
228,62295857.0,341.0,346.96,335.66,338.23,2024-11-26
229,57896439.0,341.8,342.55,326.59,332.89,2024-11-27
230,37167621.0,336.08,345.45,334.6501,345.16,2024-11-29
231,77986478.0,352.38,360.0,351.1501,357.09,2024-12-02
232,58267196.0,351.8,355.69,348.2,351.42,2024-12-03
233,50810874.0,353.0,358.1,348.6,357.93,2024-12-04
234,81403569.0,359.87,375.43,359.5,369.49,2024-12-05
235,81455834.0,377.42,389.49,370.8,389.22,2024-12-06
236,96359173.0,397.61,404.8,378.01,389.79,2024-12-09
237,97563578.0,392.68,409.73,390.85,400.99,2024-12-10
238,104287559.0,409.7,424.88,402.38,424.77,2024-12-11
239,87752225.0,424.84,429.3,415.0,418.1,2024-12-12
240,89000158.0,420.0,436.3,415.71,436.23,2024-12-13
241,114083811.0,441.09,463.19,436.15,463.02,2024-12-16
242,131222978.0,475.9,483.99,457.5101,479.86,2024-12-17
243,149340788.0,466.495,488.5399,427.01,440.13,2024-12-18
244,118566146.0,451.88,456.36,420.02,436.17,2024-12-19
245,132216176.0,425.505,447.08,417.64,421.06,2024-12-20
246,72698055.0,431.0,434.51,415.4112,430.6,2024-12-23
247,59551750.0,435.9,462.78,435.14,462.28,2024-12-24
248,76651210.0,465.16,465.3299,451.02,454.13,2024-12-26
249,82666821.0,449.52,450.0,426.5,431.66,2024-12-27
250,64941012.0,419.4,427.0,415.75,417.41,2024-12-30
251,76825121.0,423.79,427.93,402.54,403.84,2024-12-31
252,109710749.0,390.1,392.7299,373.04,379.28,2025-01-02
253,95423329.0,381.48,411.8799,379.45,410.44,2025-01-03
254,85516534.0,423.2,426.43,401.7,411.05,2025-01-06
255,75699525.0,405.83,414.33,390.0,394.36,2025-01-07
256,73038805.0,392.95,402.4999,387.4,394.94,2025-01-08
257,62287333.0,391.4,399.28,377.29,394.74,2025-01-10
258,67580494.0,383.21,403.79,380.07,403.31,2025-01-13
259,84565022.0,414.34,422.64,394.54,396.36,2025-01-14
260,81375460.0,409.9,429.8,405.661,428.22,2025-01-15
261,68335151.0,423.49,424.0,409.13,413.82,2025-01-16
262,94991429.0,421.5,439.74,419.75,426.5,2025-01-17
263,87320894.0,432.64,433.2,406.31,424.07,2025-01-21
264,60963342.0,416.81,428.0,414.59,415.11,2025-01-22
265,50690592.0,416.06,420.73,408.95,412.38,2025-01-23
266,56427149.0,414.45,418.88,405.78,406.58,2025-01-24
267,58125510.0,394.8,406.69,389.0,397.15,2025-01-27
268,48910676.0,396.91,400.59,386.5,398.09,2025-01-28
269,68033648.0,395.21,398.5899,384.48,389.1,2025-01-29
270,98092879.0,410.78,412.5,384.41,400.28,2025-01-30
271,83568219.0,401.53,419.99,401.34,404.6,2025-01-31
272,93732122.0,386.68,389.17,374.36,383.68,2025-02-03
273,57072235.0,382.63,394.0,381.4,392.21,2025-02-04
274,57614721.0,387.51,388.39,375.53,378.17,2025-02-05
275,77918230.0,373.03,375.4,363.18,374.32,2025-02-06
276,70298258.0,370.19,380.5459,360.34,361.62,2025-02-07
277,77514903.0,356.21,362.7,350.51,350.73,2025-02-10
278,118543400.0,345.8,349.37,325.1,328.5,2025-02-11
279,105382729.0,329.94,346.4,329.12,336.51,2025-02-12
280,89441519.0,345.0,358.69,342.85,355.94,2025-02-13
281,68277279.0,360.62,362.0,347.5,355.84,2025-02-14
282,51631702.0,355.01,359.1,350.02,354.11,2025-02-18
283,67094374.0,354.0,367.34,353.67,360.56,2025-02-19
284,45965354.0,361.51,362.3,348.0,354.4,2025-02-20
285,74058648.0,353.44,354.98,334.42,337.8,2025-02-21
286,76052321.0,338.14,342.3973,324.7,330.53,2025-02-24
287,134228777.0,327.025,328.89,297.2512,302.8,2025-02-25
288,100118276.0,303.715,309.0,288.04,290.8,2025-02-26
289,101748197.0,291.16,297.23,280.88,281.95,2025-02-27
290,115696968.0,279.5,293.88,273.6,292.98,2025-02-28
291,115551414.0,300.34,303.94,277.3,284.65,2025-03-03
292,126706623.0,270.93,284.35,261.8401,272.04,2025-03-04
293,94042913.0,272.92,279.55,267.71,279.1,2025-03-05
294,98451566.0,272.06,272.65,260.02,263.45,2025-03-06
295,102369640.0,259.32,266.2499,250.73,262.67,2025-03-07
296,189076948.0,252.535,253.37,220.0,222.15,2025-03-10
297,174896415.0,225.305,237.0649,217.02,230.58,2025-03-11
298,142215681.0,247.22,251.84,241.1,248.09,2025-03-12
299,114813525.0,248.125,248.29,232.6,240.68,2025-03-13
300,100242264.0,247.31,251.58,240.73,249.98,2025-03-14
301,111900565.0,245.055,245.4,232.8,238.01,2025-03-17
302,111477636.0,228.155,230.1,222.28,225.31,2025-03-18
303,111993753.0,231.61,241.41,229.201,235.86,2025-03-19
304,99028270.0,233.345,238.0,230.0501,236.26,2025-03-20
305,132728684.0,234.985,249.52,234.55,248.71,2025-03-21
306,169079865.0,258.075,278.64,256.33,278.39,2025-03-24
307,150361538.0,283.6,288.2,271.28,288.14,2025-03-25
308,156254441.0,282.66,284.9,266.51,272.06,2025-03-26
309,162572146.0,272.48,291.85,271.8216,273.13,2025-03-27
310,123809389.0,275.575,276.1,260.57,263.55,2025-03-28
311,134008936.0,249.31,260.56,243.3601,259.16,2025-03-31
312,146486911.0,263.8,277.45,259.25,268.46,2025-04-01
313,212787817.0,254.6,284.99,251.27,282.76,2025-04-02
314,136174291.0,265.29,276.3,261.51,267.28,2025-04-03
315,181229353.0,255.38,261.0,236.0,239.43,2025-04-04
316,183453776.0,223.78,252.0,214.25,233.29,2025-04-07
317,171603472.0,245.0,250.44,217.8,221.86,2025-04-08
318,219433373.0,224.69,274.69,223.88,272.2,2025-04-09
319,181722604.0,260.0,262.49,239.33,252.4,2025-04-10
320,128948085.0,251.84,257.74,241.3629,252.31,2025-04-11
321,100135241.0,258.36,261.8,245.93,252.35,2025-04-14
322,79594318.0,249.91,258.75,247.54,254.11,2025-04-15
323,112378737.0,247.61,251.97,233.89,241.55,2025-04-16
324,83404775.0,243.47,244.34,237.6833,241.37,2025-04-17
325,97768007.0,230.26,232.21,222.79,227.5,2025-04-21
326,120858452.0,230.96,242.79,229.8501,237.97,2025-04-22
327,150381903.0,254.86,259.4499,244.43,250.74,2025-04-23
328,94464195.0,250.5,259.54,249.2,259.51,2025-04-24
329,167560688.0,261.69,286.85,259.63,284.95,2025-04-25
330,151731771.0,288.98,294.86,272.42,285.88,2025-04-28
331,108906553.0,285.5,293.32,279.4695,292.03,2025-04-29
332,128961057.0,279.9,284.45,270.78,282.16,2025-04-30
333,99658974.0,280.01,290.8688,279.81,280.52,2025-05-01
334,114454683.0,284.9,294.78,279.81,287.21,2025-05-02
335,94618882.0,284.57,284.849,274.4,280.26,2025-05-05
336,76715792.0,273.105,277.73,271.35,275.35,2025-05-06
337,71882408.0,276.88,277.92,271.0,276.22,2025-05-07
338,97539448.0,279.63,289.8,279.41,284.82,2025-05-08
339,132387835.0,290.21,307.04,290.0,298.26,2025-05-09
340,112826661.0,321.99,322.21,311.5,318.38,2025-05-12
341,136992574.0,320.0,337.5894,316.8,334.07,2025-05-13
342,136997264.0,342.5,350.0,337.0,347.68,2025-05-14
343,97882596.0,340.34,346.1393,334.7153,342.82,2025-05-15
344,95895665.0,346.24,351.62,342.33,349.98,2025-05-16
345,88869853.0,336.3,343.0,333.37,342.09,2025-05-19
346,131715548.0,347.87,354.9899,341.63,343.82,2025-05-20
347,102354844.0,344.43,347.35,332.2,334.62,2025-05-21
348,97113416.0,331.9,347.27,331.39,341.04,2025-05-22
349,84654818.0,337.92,343.18,333.21,339.34,2025-05-23
350,120146414.0,347.35,363.79,347.32,362.89,2025-05-27
351,91404309.0,364.84,365.0,355.91,356.9,2025-05-28
352,88545666.0,365.29,367.71,356.0,358.43,2025-05-29
353,123474938.0,355.52,363.68,345.29,346.46,2025-05-30
